35780067,1615-FDW,13,42.00861,-5.68188,0.0,0.0,740.0,0.0,73,Calle Alonso Briceo 25, 49600 Benavente, Zamora, (Castilla y Len), Espaa,1475465672000
35780069,1615-FDW,13,42.03387,-5.67818,56.0,2.0,768.0,2828.57858282,74,,1475465692000
35780071,1615-FDW,13,42.03448,-5.67472,60.0,88.0,768.7523193,294.027612647,74,,1475465712000
35780073,1615-FDW,13,42.032,-5.67173,100.0,168.0,756.8577881,370.688012431,75,,1475465732000
35780075,1615-FDW,13,42.02604,-5.67068,118.0,172.0,731.1138916,669.418933371,63,,1475465752000
35780077,1615-FDW,13,42.02034,-5.66883,118.0,156.0,726.0778198,651.988453929,75,,1475465772000
35780079,1615-FDW,13,42.01472,-5.66538,118.0,158.0,713.8047485,687.486863089,75,,1475465793000
35780081,1615-FDW,13,42.00937,-5.66267,118.0,158.0,711.1264038,636.287865389,75,,1475465813000
35780083,1615-FDW,13,42.00353,-5.65955,118.0,154.0,706.0509033,699.997726835,77,,1475465833000
35780085,1615-FDW,13,41.99875,-5.65543,118.0,134.0,707.4586792,631.478074133,77,,1475465853000
35780087,1615-FDW,13,41.99547,-5.64823,118.0,118.0,707.6697998,698.677193445,77,,1475465873000
35780089,1615-FDW,13,41.99275,-5.64153,118.0,120.0,708.0192261,631.5513252,77,,1475465893000
35780091,1615-FDW,13,41.98847,-5.63595,118.0,142.0,705.1459351,663.267730322,77,,1475465913000
35780093,1615-FDW,13,41.98499,-5.62907,118.0,112.0,710.7307739,688.490416027,63,,1475465933000
35780095,1615-FDW,13,41.98272,-5.62165,118.0,112.0,717.809021,663.750400709,77,,1475465953000
35780097,1615-FDW,13,41.98008,-5.61448,120.0,124.0,726.9727783,662.122666281,77,,1475465973000
35780099,1615-FDW,13,41.97634,-5.60835,124.0,128.0,720.8421021,655.73758414,78,,1475465993000
35780101,1615-FDW,13,41.97252,-5.60221,118.0,128.0,724.3470459,662.697571226,78,,1475466013000
35780103,1615-FDW,13,41.96873,-5.59604,118.0,128.0,725.2254639,662.564271573,78,,1475466033000
35780105,1615-FDW,13,41.96486,-5.58991,118.0,128.0,722.9192505,665.31311544,78,,1475466053000
35780107,1615-FDW,13,41.96104,-5.58373,118.0,130.0,723.5550537,664.904856845,78,,1475466073000
35780109,1615-FDW,13,41.95723,-5.57756,118.0,128.0,728.7518921,664.261933594,79,,1475466093000
35780111,1615-FDW,13,41.9534,-5.57136,118.0,128.0,729.0532227,666.81376603,79,,1475466113000
35780113,1615-FDW,13,41.94938,-5.56491,118.0,128.0,737.795166,696.803339065,79,,1475466133000
35780115,1615-FDW,13,41.94563,-5.55918,118.0,130.0,739.0087891,631.158396708,79,,1475466153000
35780117,1615-FDW,13,41.94174,-5.55306,118.0,128.0,738.9805298,666.798748277,79,,1475466173000
35780119,1615-FDW,13,41.93783,-5.54648,118.0,128.0,738.3292847,697.35577154,81,,1475466193000
